displacement_cc,cylinder_count,engine_cycle,bore_mm,stroke_mm,fuel_system_type,fuel_injection,cooling_Air,cooling_Liquid,cooling_Oil & air,gear_count,is_automatic,transmission_Belt   (final drive),transmission_Chain   (final drive),transmission_Shaft drive (cardan)   (final drive),front_tyre_width,front_tyre_aspect,front_tyre_rim,rear_tyre_width,rear_tyre_aspect,rear_tyre_rim
233.0,1.0,4.0,69.0,62.5,Carburettor,0,0,0,1,5.0,0,0,1,0,90.0,90.0,21.0,120.0,80.0,18.0
249.0,1.0,4.0,77.0,53.6,Injection,1,0,0,1,6.0,0,0,1,0,90.0,90.0,21.0,120.0,80.0,18.0
249.0,1.0,4.0,77.0,53.6,Injection,1,0,0,1,6.0,0,0,1,0,90.0,90.0,21.0,120.0,80.0,18.0
249.0,1.0,4.0,77.0,53.6,Injection,1,0,0,1,6.0,0,0,1,0,90.0,90.0,21.0,120.0,80.0,18.0
249.0,1.0,4.0,77.0,53.6,Injection,1,0,0,1,6.0,0,0,1,0,90.0,90.0,21.0,120.0,80.0,18.0
249.0,1.0,4.0,77.0,53.6,Injection,1,0,0,1,6.0,0,0,1,0,90.0,90.0,21.0,120.0,90.0,18.0
249.0,1.0,4.0,77.0,53.6,Injection,1,0,0,1,6.0,0,0,1,0,90.0,90.0,21.0,120.0,90.0,18.0
249.0,1.0,4.0,77.0,53.6,Injection,1,0,0,1,6.0,0,0,1,0,90.0,90.0,21.0,120.0,80.0,18.0
249.0,1.0,4.0,77.0,53.6,Injection,1,0,0,1,6.0,0,0,1,0,90.0,90.0,21.0,120.0,80.0,18.0
249.0,1.0,4.0,77.0,53.6,Injection,1,0,1,0,6.0,0,0,1,0,100.0,80.0,17.0,130.0,70.0,17.0
249.0,1.0,4.0,77.0,53.6,Injection,1,0,1,0,6.0,0,0,1,0,100.0,80.0,17.0,130.0,70.0,17.0
659.7,1.0,4.0,100.0,74.4,Injection,1,0,1,0,5.0,0,0,1,0,90.0,90.0,21.0,140.0,80.0,18.0
600.0,1.0,4.0,100.0,76.4,Injection,1,0,1,0,5.0,0,0,1,0,90.0,90.0,21.0,140.0,80.0,18.0
659.7,1.0,4.0,100.0,76.4,Injection,1,0,1,0,6.0,0,0,1,0,90.0,90.0,21.0,140.0,80.0,18.0
659.7,1.0,4.0,100.0,76.4,Injection,1,0,1,0,6.0,0,0,1,0,90.0,90.0,21.0,140.0,80.0,18.0
600.0,1.0,4.0,100.0,76.4,Injection,1,0,1,0,6.0,0,0,1,0,90.0,90.0,21.0,140.0,80.0,18.0
124.0,1.0,4.0,56.5,49.5,Carburettor,0,1,0,0,5.0,0,0,1,0,90.0,90.0,21.0,120.0,80.0,18.0
198.2,1.0,4.0,69.0,53.0,Carburettor,0,0,0,1,5.0,0,0,1,0,90.0,90.0,21.0,120.0,90.0,18.0
249.0,1.0,4.0,77.0,53.6,Injection,1,0,1,0,6.0,0,0,1,0,90.0,90.0,21.0,120.0,80.0,18.0
249.0,1.0,4.0,77.0,53.6,Injection,1,0,1,0,6.0,0,0,1,0,90.0,90.0,21.0,120.0,80.0,18.0
297.6,1.0,4.0,77.0,53.6,Injection,1,0,0,1,6.0,0,0,1,0,90.0,90.0,21.0,140.0,80.0,18.0
501.0,1.0,4.0,97.0,67.5,Injection,1,0,0,1,6.0,0,0,1,0,90.0,90.0,21.0,140.0,80.0,18.0
124.0,1.0,4.0,54.0,54.0,Carburettor,0,1,0,0,5.0,0,0,1,0,,,,90.0,90.0,18.0
124.0,1.0,4.0,54.0,54.0,Carburettor,0,1,0,0,5.0,0,0,1,0,110.0,70.0,17.0,130.0,70.0,17.0
124.0,1.0,4.0,52.4,57.8,Carburettor,0,1,0,0,,1,1,0,0,,,,,,
